he  : He 	 (Madison;Madison 's; : Madison;Madison 's;)
Madison 's strokes  : Goff 	 (-- : --)
Madison  : court 	 (Madison;Madison 's; : --)
court 's decision  : he 	 (-- : A habeas petitioner;)
he  : it 	 (Madison; : The Eleventh Circuit;the Eleventh Circuit;the majority 's;)
court 's conclusion  : Circuit 	 (-- : --)
he  : none-outerSubject	 (-- : --)
retributive purpose  : We 	 (-- : Panetti and Ford;)
Madison  : it 	 (Madison; : The state court;)
delays  : Court 	 (-- : --)
he  : He 	 (Madison;Madison 's; : Madison;Madison 's;)
Madison 's strokes  : Goff 	 (-- : --)
Madison  : court 	 (Madison;Madison 's; : --)
court 's decision  : he 	 (-- : A habeas petitioner;)
he  : it 	 (Madison; : The Eleventh Circuit;the Eleventh Circuit;the majority 's;)
court 's conclusion  : Circuit 	 (-- : --)
he  : none-outerSubject	 (-- : --)
retributive purpose  : We 	 (-- : Panetti and Ford;)
Madison  : it 	 (Madison; : The state court;)
delays  : Court 	 (-- : --)
