(October 4 2017, Decided at_time, February 21 2018)
(federal jury, indicted, petitioner)
(United States Capitol, is in, Washington)
(jury, indicted, petitioner)
(federal grand jury, indicted, petitioner)
(grand jury, indicted, petitioner)
(District Court, dismiss, indictment)
(Class, asked, District Court)
(statute, violates, Process Clause)
(statute, violates, Second Amendment)
(statute, violates, Due Process Clause)
(statute, violates, Due Clause)
(statute, violates, Amendment)
(statute, violates, Clause)
(District Court, dismissed, claims)
(Class, pleaded in, violation of 40 U. S. C. § 5104)
(Class, pleaded, guilty to Possession)
(Class, pleaded, guilty)
(Class, pleaded in, violation)
(Class, pleaded, guilty to Possession of Firearm on U. S. Capitol Grounds)
(Class, pleaded, guilty to Possession of Firearm)
(plea agreement, set forth, terms of Class ' guilty plea)
(written plea agreement, set, terms of Class ' guilty plea)
(written plea agreement, set forth, terms of Class ' plea)
(he, agreed, waive)
(written plea agreement, set, terms of Class ' plea)
(plea agreement, set forth, terms)
(plea agreement, set, terms of Class ' plea)
(plea agreement, set, terms of Class ' guilty plea)
(written plea agreement, set forth, terms of Class ' guilty plea)
(plea agreement, set forth, terms of Class ' plea)
(written plea agreement, set forth, terms)
(plea agreement, set, terms)
(written plea agreement, set, terms)
(agreement, said, nothing)
(Federal Rules, of Rule is, b)
(Class, raise, his claims on appeal)
(Class, raise, his constitutional claims)
(Class, raise, his constitutional claims on appeal)
(Class, raise, his claims on direct appeal)
(Class, raise, his claims)
(Class, raise, his constitutional claims on direct appeal)
(federal criminal defendant, guilty plea by, itself)
(federal criminal defendant, plea by, itself)
(Court, from, prior decisions)
(holding, flows from, Court prior decisions)
(holding, flows directly from, Court decisions)
(holding, flows from, Court decisions)
(holding, flows directly from, Court prior decisions)
(Court, ago addressed, claim)
(Court, ago addressed, similar claim)
(Court, addressed, claim)
(Court, addressed claim in, Haynes)
(Court, addressed, similar claim)
(challenging, constitutionality of, statute)
(Court, ago addressed claim in, Haynes)
(challenging, constitutionality of, criminal statute)
(defendant, has, plea of guilty)
(Justice Harlan, has, opinion for Court)
(clear statement, reflects, understanding)
(statement, reflects, understanding of nature)
(statement, reflects, understanding)
(clear statement, reflects, understanding of nature)
(decisions, have elaborated upon, it)
(Subsequent decisions, have elaborated upon, it)
(417 U. S. 21, is In, Blackledge)
(his guilt, is, validly established)
(his guilt, is, how validly established)
(his factual guilt, is, established)
(his factual guilt, is, validly established)
(423 U. S. 61, is in, Menna)
(his factual guilt, is, how validly established)
(defendant, has, claim)
(his guilt, is, established)
(Menna-Blackledge doctrine, has, basic teaching)
(Class, waived, his claims)
(Class, expressly waived, his claims)
(Class, pleading, guilty)
(Class, waived, his constitutional claims)
(Class, expressly nor implicitly waived, his claims)
(Class, expressly nor implicitly waived, his constitutional claims)
(b, is In, case)
(Class, expressly waived, his constitutional claims)
(they, can, can resolved on basis of record)
(they, can, can resolved)
(they, can, can resolved on basis)
(Court, understands, them)
(they, can, can resolved on basis of existing record)
(575, at Broce is, supra)
(Government, has, power constitutionally prosecute)
(Government, has, power criminalize)
(certain kinds, be, raised)
(kinds, be, raised)
(certain kinds, be raised after, plea of guilty)
(Rule, has, drafters)
(certain kinds, be raised after, plea)
(kinds, be raised after, plea)
(kinds, be raised after, plea of guilty)
(Advisory Committee, has, Notes on 1983 Amendments to Fed)
(Menna-Blackledge doctrine, applicability of is, issue here)
(Menna-Blackledge doctrine, applicability of is, issue)
(applicability, is at, issue)
(applicability, is at, issue here)
(Breyer, delivered, opinion)
(Ginsburg, joined, Sotomayor)
(Ginsburg, joined, Kagan)
(Ginsburg, joined, Gorsuch)
(opinion, is subject to, revision in print of United States Reports)
(opinion, is subject to, formal revision in preliminary print)
(opinion, is subject to, revision)
(opinion, is subject to, formal revision)
(opinion, is subject to, revision in print)
(opinion, is subject to, formal revision before publication)
(opinion, is subject to, formal revision in print of United States Reports)
(formal revision, is in, preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in preliminary print)
(opinion, is subject to, formal revision before publication in print of United States Reports)
(opinion, is subject to, revision before publication)
(opinion, is subject to, formal revision in print)
(opinion, is, subject)
(opinion, is subject to, revision in preliminary print)
(opinion, is subject to, revision before publication in print)
(opinion, is subject to, formal revision in preliminary print of United States Reports)
(opinion, is subject to, revision before publication in preliminary print of United States Reports)
(opinion, is subject to, revision in preliminary print of United States Reports)
(opinion, is subject to, formal revision before publication in print)
(opinion, is subject to, revision before publication in print of United States Reports)
(opinion, is subject to, formal revision before publication in preliminary print of United States Reports)
(Readers, notify, Reporter)
(Readers, notify, Reporter of Decisions)
(Supreme Court, is in, order)
(Readers, are, requested)
(typographical formal errors, of States is, Washington)
(typographical formal errors, of States is, D. C. 20543)
(RODNEY CLASS, PETITIONER v., UNITED STATES)
(Justice Breyer, delivered, opinion of Court)
(Justice Breyer, delivered, opinion)
(guilty plea does bar, is In, our view)
(federal jury, indicted, petitioner)
(jury, indicted, petitioner)
(federal grand jury, indicted, petitioner)
(jury, possessing, firearms)
(grand jury, indicted petitioner In, September 2013)
(jury, indicted, Rodney Class)
(federal grand jury, indicted petitioner In, September 2013)
(federal jury, indicted petitioner In, September 2013)
(grand jury, possessing, firearms)
(federal jury, possessing, firearms)
(United States Capitol, is in, Washington)
(jury, indicted petitioner In, September 2013)
(federal grand jury, possessing, firearms)
(federal grand jury, indicted, Rodney Class)
(grand jury, indicted, petitioner)
(federal jury, indicted, Rodney Class)
(grand jury, indicted, Rodney Class)
(Class, asked Federal District Court for, District)
(Class, Soon thereafter asked, Federal District Court)
(Class, asked, Federal District Court)
(Class, Soon thereafter asked Federal District Court for, District)
(Class, thereafter asked Federal District Court for, District of Columbia)
(Federal District Court, dismiss, indictment)
(Class, thereafter asked, Federal District Court)
(Class, asked Federal District Court for, District of Columbia)
(Class, Soon thereafter asked Federal District Court for, District of Columbia)
(Class, thereafter asked Federal District Court for, District)
(statute, violates, Second Amendment)
(statute, violates, Amendment)
(weapons, were banned in, parking lot)
(He, raised, process claim)
(He, also raised, process claim)
(He, raised, due process claim)
(weapons, were, banned)
(he, was denied, notice)
(He, also raised, due process claim)
(he, was denied, fair notice)
(District Court, denied claims Following, hearing)
(District Court, denied, claims)
(Class, later pleaded in, violation of 40 U. S. C. § 5104)
(Class, pleaded in, violation of 40 U. S. C. § 5104)
(Class, later pleaded, guilty)
(Class, pleaded, guilty to Possession of Firearm on U. S. Capitol Grounds)
(Class, pleaded in, violation)
(Class, later pleaded, guilty to Possession)
(Class, later pleaded in, violation)
(Class, pleaded, guilty to Possession)
(Class, pleaded, guilty)
(Class, pleaded, guilty to Possession of Firearm)
(Class, later pleaded, guilty to Possession of Firearm on U. S. Capitol Grounds)
(Class, later pleaded, guilty to Possession of Firearm)
(Government, drop, related charges)
(Government, drop, charges)
(plea agreement, set forth, terms of Class ' guilty plea)
(written plea agreement, set, terms of Class ' guilty plea)
(he, agreed, waive)
(written plea agreement, set forth, terms of Class ' plea)
(plea agreement, set forth, terms)
(written plea agreement, set, terms of Class ' plea)
(plea agreement, set, terms of Class ' plea)
