he  : Government 	 (Petitioner;petitioner;petitioner 's; : --)
petitioner  : Circuit 	 (Petitioner;petitioner;petitioner 's; : --)
petitioner  : Government 	 (petitioner; : --)
petitioner  : Court 	 (petitioner; : --)
appeal  : none-outerSubject	 (-- : --)
none-innersubject : Government 	 (-- : --)
petitioner  : none-outerSubject	 (petitioner;petitioner 's; : --)
Manrique  : I 	 (-- : --)
required advice  : none-outerSubject	 (-- : --)
second notice  : Court 	 (-- : --)
clerk 's dispatch  : I 	 (-- : --)
defendant  : Court 's decision 	 (-- : --)
