court  : McWilliams 	 (-- : McWilliams;McWilliams ';)
McWilliams  : record 	 (McWilliams; : --)
State  : It 	 (-- : --)
purported McWilliams ' malingering  : that 	 (-- : --)
State  : McWilliams 	 (-- : McWilliams;)
State  : none-outerSubject	 (-- : --)
issue  : Court 	 (-- : --)
indigent defendant  : Our concern 	 (-- : --)
State  : Ake 	 (-- : Ake;)
McWilliams  : One 	 (-- : --)
McWilliams ' performance  : Nagi 	 (Dr. Nagi;McWilliams;McWilliams ';Mr. McWilliams; : --)
none-innersubject : McWilliams ' performance 	 (-- : Dr. Nagi;McWilliams;McWilliams ';Mr. McWilliams;)
McWilliams  : report 	 (McWilliams;McWilliams '; : --)
obvious McWilliams ' deficit  : report 	 (-- : --)
McWilliams  : records 	 (-- : --)
way  : counsel 	 (-- : --)
abritrary position  : He 	 (-- : defense counsel;)
further participation  : He 	 (-- : defense counsel;)
he  : We 	 (the Defendant; : Taylor Hardin)
mitigating circumstances  : he 	 (-- : The prosecutor;the prosecutor 's;)
he  : counsel 	 (The prosecutor;the prosecutor 's; : --)
mitigating circumstances  : he 	 (-- : The prosecutor;the prosecutor 's;)
he  : judge 	 (The trial judge; : --)
aggravating circumstances  : court 	 (-- : --)
court  : McWilliams 	 (-- : McWilliams;McWilliams ';McWilliams)
it  : court 	 (The Alabama Court of Criminal Appeals;The appeals court;The court;the trial court;the trial court 's; : --)
McWilliams  : He 	 (Ake;McWilliams; : Ake;McWilliams;)
Ake 's requirements  : Alabama 	 (-- : --)
State  : Ake 	 (-- : Ake;)
issue  : none-outerSubject	 (-- : --)
court  : it 	 (-- : the State;)
requirements  : court 	 (-- : --)
Alabama  : We 	 (-- : --)
purported McWilliams ' malingering  : that 	 (-- : --)
Goff  : dissent 	 (-- : --)
alingering  : none-outerSubject	 (-- : --)
defendant  : Ake 	 (-- : Ake;)
court 's ruling  : It 	 (-- : --)
defendant  : Ake 	 (-- : Ake;)
State  : Ake 	 (-- : Ake;)
Baldi  : Ake 	 (Baldi; : Ake;)
Ake 's rights  : none-outerSubject	 (-- : --)
exact type  : reasonable conclusion 	 (-- : --)
Ake  : courts 	 (Ake;Ake -RSB- to a state-funded psychiatric expert; : --)
defense-team expert  : Circuit 	 (-- : --)
he  : due process 	 (Ake;Ake -RSB- to a state-funded psychiatric expert; : --)
due process  : none-outerSubject	 (-- : --)
Ake  : panel 	 (Ake; : --)
Ake  : strong case 	 (1545;1551;1985;21 Tulsa L.;Ake;Ake 's;Ake : --)
none-innersubject : J. 	 (-- : --)
none-innersubject : it 	 (-- : --)
Goff  : crux 	 (-- : --)
it  : State 	 (The State;the State; : --)
today 's ruling  : none-outerSubject	 (-- : --)
court 's treatment  : today 's ruling 	 (-- : --)
Court  : fundamental point 	 (-- : --)
error  : Court 	 (-- : --)
Court  : majority 	 (-- : --)
error  : Court 	 (-- : --)
evidence  : court 	 (-- : --)
aggravating circumstances  : court 	 (-- : --)
mental McWilliams 's state  : none-outerSubject	 (McWilliams;McWilliams 's; : --)
McWilliams  : One 	 (McWilliams;McWilliams 's; : --)
possibility  : judge 	 (-- : --)
outcome  : none-outerSubject	 (-- : --)
he  : McWilliams 	 (Dr. Goff;Dr. Goff 's;Dr. Woods;Dr. Woods 's;McWilliams;McWilliams 's;Mr. McWilliams;Reynolds; : Dr. Goff;Dr. Goff 's;Dr. Woods;Dr. Woods 's;McWilliams;McWilliams 's;Mr. McWilliams;Reynolds;)
McWilliams 's exaggeration  : none-outerSubject	 (Dr. Goff;Dr. Goff 's;Dr. Woods;Dr. Woods 's;McWilliams;McWilliams 's;Mr. McWilliams;Reynolds; : --)
malingering  : tr 	 (-- : --)
nothing  : none-outerSubject	 (-- : --)
McWilliams 's claims  : court 	 (-- : --)
he  : none-outerSubject	 (Dr. Goff;Dr. Goff 's;Dr. Woods;Dr. Woods 's;McWilliams;McWilliams 's;Mr. McWilliams;Reynolds; : --)
credibility  : It 	 (-- : --)
failure  : none-outerSubject	 (-- : --)
it  : Court 	 (the Court;the question;this narrow ground;this possible disposition; : --)
Ake  : panel 	 (Ake;Ake 's; : --)
Ake  : Circuit 	 (Ake;Ake 's; : --)
relief  : Alabama 	 (-- : Alabama;)
Goff  : Court 	 (-- : --)
Goff  : Court 	 (-- : --)
Goff 's diagnosis  : It 	 (-- : --)
defendant  : we 	 (-- : --)
