,,,Subject,Relationship,Object,Orginal Sentece
absence,absence,criminal_triples/case_11.txt,evidence,changed outcome in,absence of counsel 's error,"In particular, the ""assessment"" will primarily turn on ""a prediction whether,"" in the absence of counsel's error, ""the evidence"" of the defendant's innocence or guilt ""likely would have changed the outcome"" of the proceeding"
absent,absent,criminal_triples/case_11.txt,hypothetical trial,played out,absent error,"Rather than asking how a hypothetical trial would have played out absent the error, the Court considered whether there was an adequate showing that the defendant, properly advised, would have opted to go to trial"
accrual,accrual,criminal_triples/case_15.txt,Seventh Circuit,should determine,claim 's accrual date,"On remand, the Seventh Circuit should determine the claim's accrual date, unless it finds that the City has previously waived its timeliness argument"
acquitted,acquitted,criminal_triples/case_19.txt,she,was acquitted of,charges,"On appeal, Nelson's conviction was reversed for trial error, and on retrial, she was acquitted of all charges"
acutely,acutely,criminal_triples/case_17.txt,our approach,is acutely unfair by,ing,"(Nor do we agree with the dissent that our approach is ""acutely unfair to Alabama"" by not ""giv[ing] the State a fair chance to respond."
adversarial,adversarial,criminal_triples/case_17.txt,norm,is in,our adversarial system,"These limitations are at odds with the defense-expert model, which McWilliams characterizes as ""the norm in our adversarial system."
adversary,adversary,criminal_triples/case_17.txt,they,are,in our adversary system customarily performed by expert,"While it is possible for a neutral expert to provide these services, in our adversary system they are customarily performed by an expert working exclusively for one of the parties"
adverse,adverse,criminal_triples/case_11.txt,representation,prejudiced defendant by,ha adverse effect,"The Court in Strickland held that a defendant may establish a claim of ineffective assistance of counsel by showing that his ""counsel's representation fell below an objective standard of reasonableness"" and, as relevant here, that the representation prejudiced the defendant by ""actually ha[ving] an adverse effect on the defense."
affected,affected,criminal_triples/case_13.txt,Tharpe 's race,affected,Gattie 's vote,Gattie's remarkable affidavit--which he never retracted--presents a strong factual basis for the argument that Tharpe's race affected Gattie's vote for a death verdict
against,against,criminal_triples/case_11.txt,Guilty pleas,are therefore entitled to,protections against collateral attack,"Guilty pleas, like completed trials, are therefore entitled to the protections against collateral attack that the Strickland prejudice standard affords"
